album,album_date,photo_count,bucket,reason,matched_post_id,matched_post_title,containment,date_delta_days,marker,needs_review_subtype
Joe Bonamassa | World Tour 2018 | Queen Elizabeth Theatre,2018-12-01,36,REPAIR,strong title + in-window + dead-gallery marker,66813,Joe Bonamassa | Night one of 3 shows in Vancouver,1.00,1,jig2;fbcdn,
Joe Satriani / What Happens Next Tour / June 1 / 2018,2018-06-03,43,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",67620,Photos: Joe Satriani / What Happens Next Tour @ The Commodore Ballroom,0.71,0,jig2;fbcdn,
Joey Bada$$,2015-09-22,9,REPAIR,strong title + in-window + dead-gallery marker,66814,Joey Bada$$ at the Vogue Theatre,1.00,1,oauth,
Joey BadA$$ @ Vogue Theatre / May 12 / 2018,2018-05-13,6,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",67621,Photos: Joey BadA$$ @ The Vogue Theatre in Vancouver B.C.,0.67,0,jig2;fbcdn,
"John Butler Trio / Orpheum Theatre / June 27, 2018",2018-06-29,34,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",67622,Photos: John Butler Trio @ The Orpheum Theatre,0.71,4,jig2;fbcdn,
John Butler Trio / Sept.9/2017,2017-09-12,26,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",67706,Photos of John Butler Trio at Malkin Bowl in Vancouver,0.60,1,jig2;fbcdn,
"John Mayer / The Search for Everything Tour / April 19, 2017",2017-04-23,22,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",67707,Photos of John Mayer at Rogers Arena,0.33,1,jig2;fbcdn,
John Paul White,2016-07-31,16,REPAIR,strong title + in-window + dead-gallery marker,67708,Photos of John Paul White at The Fox Cabaret,1.00,0,jig2;fbcdn,
Johnny Marr / Sept. 20 / 2018 @ Vogue,2018-09-24,9,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",67623,Photos: Johnny Marr @ The Vogue Theatre,0.60,0,jig2;fbcdn,
Jon and Roy with Old Man Canyon,2018-04-08,14,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",67624,Photos: Jon And Roy @ The Commodore Ballroom in Vancouver,0.40,0,jig2;fbcdn,
Jon Bellion,2017-10-05,15,REPAIR,strong title + in-window + dead-gallery marker,67625,Photos: Jon Bellion at The Vogue Theatre in Vancouver,1.00,0,jig2;fbcdn,
Jonny Lang,2017-12-01,36,REPAIR,strong title + in-window + dead-gallery marker,67626,Photos: Jonny Lang / Signs World Tour @ The Commodore Ballroom,1.00,1,jig2;fbcdn,
"Jordan Klassen with Chersea at the Biltmore, 05/31/14",2014-06-02,19,REPAIR,strong title + in-window + dead-gallery marker,66831,Jordan Klassen with Chersea at the Biltmore,1.00,0,oauth,
"Julia Holter, Circuit des Yeux",2016-02-08,8,REPAIR,strong title + in-window + dead-gallery marker,67709,Photos of Julia Holter and Circuit des Yeux at the Cobalt,1.00,0,jig2;fbcdn,
Juliette Lewis at Venue,2016-09-20,56,REPAIR,strong title + in-window + dead-gallery marker,67710,Photos of Juliette Lewis at Venue,1.00,0,jig2;fbcdn,
July Talk at The Commodore Ballroom,2016-11-25,23,REPAIR,strong title + in-window + dead-gallery marker,67712,Photos of July Talk at The Commodore Ballroom In Vancouver,1.00,1,oauth,
"Justin Nozuka at the Biltmore Cabaret, 05/03/14",2014-05-06,4,REPAIR,strong title + in-window + dead-gallery marker,66855,Justin Nozuka at the Biltmore Cabaret,1.00,0,jig2;fbcdn,
Kaleo,2017-04-10,16,REPAIR,strong title + in-window + dead-gallery marker,67713,Photos of Kaleo at The Orpheum Theatre,1.00,6,oauth,
Katy Perry  / Witness Tour 2018 with Carly Rae Jepsen,2018-02-08,69,REPAIR,strong title + in-window + dead-gallery marker,67630,Photos: Katy Perry �Witness� Tour with Carly Rae Jepsen,1.00,1,jig2;fbcdn,
Khalid,2017-07-15,8,REPAIR,strong title + in-window + dead-gallery marker,67714,Photos of Khalid at The P.N.E Forum,1.00,3,oauth,
King Princess @ The Biltmore // July 20 / 2018,2018-07-21,29,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",67634,Photos: King Princess @ The Biltmore Cabaret,0.60,0,jig2;fbcdn,
Kurt Vile,2016-05-31,19,REPAIR,strong title + in-window + dead-gallery marker,67715,Photos of Kurt Vile at Deer Lake Park,1.00,0,oauth,
Leon Bridges / GOOD THING TOUR @ PNE Amphitheatre,2018-09-18,18,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",67639,Photos: Leon Bridges @ The P.N.E. Amphitheatre,0.50,0,jig2;fbcdn,
Lights @ The Vogue,2018-02-01,14,REPAIR,strong title + in-window + dead-gallery marker,67640,Photos: Lights @ The Vogue Theatre,1.00,1,jig2;fbcdn,
Lissie with Van William / May 8 / 2018,2018-05-11,12,REPAIR,"hand-review: false-ADD, headliner-dilution, confirmed broken gallery",67641,Photos: Lissie @ The Imperial in Vancouver,0.20,1,oauth,
Lorde / Run The Jewels / Tove Styrke,2018-03-12,70,REPAIR,strong title + in-window + dead-gallery marker,67644,Photos : Lorde: Melodrama World Tour : with Run The Jewels and Tove Styrke,1.00,0,jig2;fbcdn,
"Lydia Hol, Jasper Sloan Yip",2016-01-26,13,REPAIR,strong title + in-window + dead-gallery marker,67716,Photos of Lydia Hol and Jasper Sloan Yip at St. James Hall,1.00,0,jig2;fbcdn,
"Mac DeMarco at the Vogue Theatre, 7/1/14",2014-07-03,16,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),67088,Mac DeMarco at the Vogue Theatre,1.00,4,fbcdn,
Maceo Parker @ The Commodore Ballroom / Aug 21,2018-08-23,16,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",67647,Photos: Maceo Parker @ The Commodore Ballroom,0.67,0,oauth,
Madchild,2015-01-10,13,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),67094,Madchild at VENUE,1.00,5,fbcdn,
Marianas Trench / P.N.E. Summer Concerts 2018,2018-09-01,19,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",67648,Photos: Marianas Trench� @ The P.N.E Amphitheatre,0.71,1,oauth,
Marilyn Manson,2015-03-30,10,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),67107,Marilyn Manson at Queen Elizabeth Theatre,1.00,4,fbcdn,
Martha Wainwright,2017-10-30,13,REPAIR,strong title + in-window + dead-gallery marker,67717,Photos of Martha Wainwright @ The Imperial in Vancouver,1.00,1,jig2;fbcdn,
Matchbox Twenty,2017-07-20,42,REPAIR,strong title + in-window + dead-gallery marker,67649,Photos: Matchbox Twenty : A Brief History Of Everything Tour,1.00,0,jig2;fbcdn,
Matt Mays / Dustin Bentall @ Commodore Ballroom Jan. 27/ 2018,2018-01-29,54,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",67650,Photos: Matt Mays / Dustin Bentall at The Commodore Ballroom,0.75,1,jig2;fbcdn,
Matthew Good with special guest Craig Stickland,2017-02-19,68,REPAIR,strong title + in-window + dead-gallery marker,67718,Photos of Matthew Good and Craig Stickland at The Commodore Ballroom,1.00,0,jig2;fbcdn,
Mayhem,2017-02-07,20,REPAIR,strong title + in-window + dead-gallery marker,67719,Photos of Mayhem at The Rickshaw Theatre,1.00,0,jig2;fbcdn,
"Mayhem, Watain",2015-01-28,22,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),67134,"Mayhem, Watain at the Rickshaw Theatre",1.00,2,fbcdn,
Meg Myers,2018-10-20,30,REPAIR,strong title + in-window + dead-gallery marker,67651,Photos: Meg Myers @ Venue Nightclub,1.00,0,oauth,
Metric & Death Cab For Cutie at Doug Mitchell Thunderbird Sports,2016-04-02,13,REPAIR,strong title + in-window + dead-gallery marker,67720,Photos of Metric & Death Cab For Cutie at Doug Mitchell Thunderbird Sports,1.00,0,jig2;fbcdn,
Michael Franti & Spearhead // Aug. 8 / 2018,2018-08-11,14,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",67165,Michael Franti & Spearhead�@ The Commodore Ballroom,0.60,1,jig2;fbcdn,
Midnight Oil,2017-06-05,24,REPAIR,strong title + in-window + dead-gallery marker,67721,Stanley Park Summer Concerts: Photos of Midnight Oil at Malkin Bowl,1.00,1,jig2;fbcdn,
Miguel,2018-02-25,25,REPAIR,strong title + in-window + dead-gallery marker,67654,Photos: Miguel @ The P.N.E. Forum in Vancouver,1.00,0,jig2;fbcdn,
Milky Chance / Blossom Tour with Leisure Club,2018-02-05,33,REPAIR,strong title + in-window + dead-gallery marker,67655,Photos: Milky Chance / The Blossom Tour 2018 with Leisure Club,1.00,0,jig2;fbcdn,
Ministry with guest Chelsea Wolfe,2018-03-31,34,REPAIR,strong title + in-window + dead-gallery marker,67656,"Photos: Ministry with guest, Chelsea Wolfe @ The Vogue Theatre",1.00,1,jig2;fbcdn,
"Miss Quincy and the Showdown at the Media Club, 05/03/14",2014-05-07,9,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",67192,Miss Quincy & the Showdown w/ Ben Rogers,0.38,1,jig2;fbcdn,
Mother Mother : No Culture Tour,2017-03-28,34,REPAIR,"hand-review: false-ADD, headliner-dilution, confirmed broken gallery",67722,Photos of Mother Mother at The Commodore Ballroom,0.33,0,oauth,
"Mother Mother, USS",2014-12-14,29,REPAIR,strong title + in-window + dead-gallery marker,67213,"Mother Mother, USS at Orpheum",1.00,0,jig2;fbcdn,
"Mounties with Rich Aucoin at the Commodore Ballroom, 03/21/14",2014-03-23,30,REPAIR,strong title + in-window + dead-gallery marker,67217,Mounties with Rich Aucoin at the Commodore Ballroom,1.00,1,jig2;fbcdn,
Ms. Lauryn Hill and Nas,2017-10-15,20,REPAIR,strong title + in-window + dead-gallery marker,67723,Photos of Ms. Lauryn Hill and Nas at The Pacific Coliseum in Vancouver,1.00,0,jig2;fbcdn,
Music Heals,2015-03-09,38,REPAIR,strong title + in-window + dead-gallery marker,67226,Music Heals,1.00,3,oauth,
Napalm Death at Venue,2016-05-06,30,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",67756,"Photos of The Melvins, Napalm Death, and Melt Banana",0.67,0,fbcdn,
"Nashville Pussy, In the Whale",2015-12-09,16,REPAIR,strong title + in-window + dead-gallery marker,67233,Nashville Pussy with In the Whale at the Rickshaw Theatre,1.00,0,jig2;fbcdn,
Neil Diamond,2017-07-25,37,REPAIR,strong title + in-window + dead-gallery marker,67664,Photos: Neil Diamond 50th Anniversary World Tour,1.00,0,jig2;fbcdn,
Netflix Golden Globe Awards After Party,2018-01-08,100,REPAIR,strong title + in-window + dead-gallery marker,67584,Photos from the Netflix Golden Globe Awards After Party,1.00,0,jig2;fb-vw;fbcdn,
"Nice Peter at the Rickshaw Theatre, 06/06/14",2014-06-09,5,REPAIR,strong title + in-window + dead-gallery marker,67264,Nice Peter at the Rickshaw Theatre,1.00,0,oauth,
Noah Cyrus | The Good Cry Tour 2018,2018-10-24,19,REPAIR,strong title + in-window + dead-gallery marker,67666,Photos: Noah Cyrus @ Venue�Night Club,1.00,0,jig2;fbcdn,
Norah Jones at Queen Elizabeth Theatre,2016-10-21,22,REPAIR,strong title + in-window + dead-gallery marker,65408,22 Photos of Norah Jones at Queen Elizabeth Theatre,1.00,0,jig2;fbcdn,
Nothing But Thieves,2016-05-31,21,REPAIR,strong title + in-window + dead-gallery marker,67724,Photos of Nothing But Thieves at The Imperial,1.00,0,oauth,
Of Montreal - Levitation,2016-06-21,14,REPAIR,strong title + in-window + dead-gallery marker,65393,14 Photos Of Montreal at Levitation Vancouver,1.00,1,jig2;fbcdn,
Oh Wonder with Jaymes Young /Sept. 6 / 2017,2017-09-08,29,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",68363,Stanley Park Summer Concerts: photos of Oh Wonder with Jaymes Young at Malkin Bowl,0.67,1,jig2;fbcdn,
Old Crow Medicine Show,2014-09-29,11,REPAIR,strong title + in-window + dead-gallery marker,67308,Old Crow Medicine Show at Orpheum,1.00,0,oauth,
"Old Man Markley at the Biltmore Cabaret, 06/12/14",2014-06-13,12,REPAIR,strong title + in-window + dead-gallery marker,67310,Old Man Markley at the Biltmore Cabaret,1.00,2,oauth,
OneRepublic,2017-08-22,26,REPAIR,strong title + in-window + dead-gallery marker,67725,Photos of OneRepublic at Roger�s Arena in Vancouver,1.00,1,jig2;fbcdn,
Opeth at Orpheum in Vancouver,2016-10-29,20,REPAIR,strong title + in-window + dead-gallery marker,65400,20 Photos of Opeth at Orpheum in Vancouver,1.00,0,jig2;fbcdn,
"Over the Coals, Terrifier",2015-01-18,20,REPAIR,strong title + in-window + dead-gallery marker,65922,"Over the Coals, Terrifier at Rickshaw Theatre",1.00,2,oauth,
P.N.E. Summer Concerts - Chicago,2017-08-27,19,REPAIR,strong title + in-window + dead-gallery marker,67346,P.N.E Summer Concerts : Chicago,1.00,1,jig2;fbcdn,
Panic! at the Disco @ Rogers Arena / Aug. 11 / 2018,2018-08-12,16,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",67779,Photos: Panic! at the Disco @ Rogers Arena,0.67,0,jig2;fbcdn,
Peaches at The Commodore Ballroom,2015-10-08,12,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),67445,Peaches at The Commodore Ballroom,1.00,4,fbcdn,
Pemberton Music Festival Day Four Highlights,2015-07-20,25,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),67468,Photo highlights of Pemberton Music Festival day four,1.00,2,fbcdn,
Pemberton Music Festival Day One Highlights,2015-07-17,15,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),67469,Photo highlights of Pemberton Music Festival day one,1.00,2,fbcdn,
Pemberton Music Festival Day Three Highlights,2015-07-19,25,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),67470,Photo highlights of Pemberton Music Festival day three,1.00,3,fbcdn,
Pemberton Music Festival Day Two Highlights,2015-07-18,28,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),67471,Photo highlights of Pemberton Music Festival day two,1.00,4,fbcdn,
Pennywise,2018-03-18,28,REPAIR,strong title + in-window + dead-gallery marker,67784,Photos: Pennywise @ The Commodore Ballroom,1.00,1,jig2;fbcdn,
Perfume Genius,2017-07-18,17,REPAIR,strong title + in-window + dead-gallery marker,67727,Photos of Perfume Genius at The Imperial in Vancouver,1.00,0,oauth,
"Pete Yorn at the Imperial, 05/29/14",2014-05-30,10,REPAIR,strong title + in-window + dead-gallery marker,67458,Pete Yorn at the Imperial,1.00,3,jig2;fbcdn,
Photos of Florida Georgia Line at Rogers Arena,2016-11-15,52,REPAIR,strong title + in-window + dead-gallery marker,67696,Photos of Florida Georgia Line at Rogers Arena in Vancouver,1.00,0,jig2;fbcdn,
Photos of Tanya Gallagher at the Backstage Lounge,2016-11-10,12,REPAIR,strong title + in-window + dead-gallery marker,67743,Photos of Tanya Gallagher at the Backstage Lounge in Vancouver,1.00,1,jig2;fbcdn,
Photos of The Lumineers at Deer Lake Park,2016-06-03,10,REPAIR,strong title + in-window + dead-gallery marker,67755,Photos of The Lumineers at Deer Lake Park,1.00,1,oauth,
Photos: Bob Seger & The Silver Bullet Band | Rogers Arena,2019-02-09,20,REPAIR,strong title + in-window + dead-gallery marker,65749,Bob Seger & The Silver Bullet Band @ Rogers Arena,1.00,0,jig2;fbcdn,
"Photos: INFECTED MUSHROOM @ The Commodore Ballroom / Jan.26, 2019",2019-01-29,43,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",67605,Photos: Infected Mushroom @ The Commodore Ballroom,0.67,1,jig2;fbcdn,
Photos: MÃ Forever Neverland Tour w/ guest LPX - Vancouver,2019-02-02,18,REPAIR,strong title + in-window + dead-gallery marker,67200,M� Forever Neverland Tour w/ LPX,1.00,0,jig2;fbcdn,
Pink @ Rogers Arena / May 12 / 2018,2018-05-14,36,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",67787,Photos: Pink @ Rogers Arena in Vancouver B.C.,0.60,1,jig2;fbcdn,
Pop Evil | W/ Royal Tusk and La Chinga @ Venue,2018-12-04,30,REPAIR,strong title + in-window + dead-gallery marker,67790,Photos: Pop Evil with Royal Tusk and La Chinga @ Venue,1.00,0,jig2;fbcdn,
Poppy.Computer Tour 2017,2017-10-20,37,REPAIR,strong title + in-window + dead-gallery marker,67728,Photos of Poppy. Computer Tour 2017 at The Rio Theatre in Vancouver,1.00,0,jig2;fbcdn,
Post Malone @ Rogers Arena,2018-04-30,36,REPAIR,strong title + in-window + dead-gallery marker,67791,Photos: Post Malone @ Rogers Arena /�April 27/2018,1.00,0,oauth,
Postmodern Jukebox,2015-06-23,12,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),67956,Postmodern Jukebox at the Vogue Theatre,1.00,4,fbcdn,
Primus and the Chocolate Factory,2015-09-15,10,REPAIR,strong title + in-window + dead-gallery marker,67984,Primus and the Chocolate Factory at the Malkin Bowl,1.00,1,jig2;fbcdn,
Psychedelic Furs,2017-07-21,32,REPAIR,strong title + in-window + dead-gallery marker,67758,Photos of The Psychedelic Furs in Vancouver,1.00,0,jig2;fbcdn,
PVRIS,2018-03-15,16,REPAIR,strong title + in-window + dead-gallery marker,65439,Photos: PVRIS @ The Vogue Theatre in Vancouver,1.00,1,jig2;fbcdn,
Queen + Adam Lambert,2017-07-03,62,REPAIR,strong title + in-window + dead-gallery marker,67729,Photos of Queen + Adam Lambert In Vancouver,1.00,1,jig2;fbcdn,
Rancid & Dropkick Murphys: From Boston to Berkeley Tour,2017-08-18,45,REPAIR,strong title + in-window + dead-gallery marker,68062,Rancid & Dropkick Murphys: From Boston to Berkeley Tour,1.00,0,jig2;fbcdn,
"Real Mad Decent at the Railway Club, 06/01/14",2014-06-05,17,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),68076,Real Mad Decent at the Railway Club,1.00,3,fbcdn,
Red Fang / We Hunt Buffalo @ The Rickshaw Theatre,2018-01-20,37,REPAIR,strong title + in-window + dead-gallery marker,67326,�Only Ghosts��album release! Photos of Red Fang�with�We Hunt Buffalo @ The Rickshaw Theatre,1.00,1,jig2;fbcdn,
Red Fang at Venue,2016-04-18,29,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),67730,"Photos of Red Fang, Bison B.C., Black Wizard  at Venue",1.00,0,fbcdn,
Reel Big Fish & Anti-Flag: Celebrating 20 Years with BALLYHOO!,2017-02-11,65,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",67731,Photos of Reel Big Fish and Anti-Flag with BALLYHOO! at The Commodore,0.67,1,jig2;fbcdn,
Reverend Horton Heat with Strung Out and Larry & His Flask,2017-09-10,68,REPAIR,strong title + in-window + dead-gallery marker,67798,"Photos: Reverend Horton Heat, Strung Out and Larry & His Flask in Vancouver",1.00,1,jig2;fbcdn,
Rifflandia 2016,2016-09-21,224,REPAIR,strong title + in-window + dead-gallery marker,67801,Photos of Rifflandia Festival 2016,1.00,1,fb-vw;oauth,
"Rifflandia Music Festival 2015, part 1",2015-09-23,25,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",67473,"Photo highlights of Rifflandia Music Festival 2015, part one",0.67,1,oauth,
"Rifflandia Music Festival 2015, part 2",2015-09-23,25,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",67474,"Photo highlights of Rifflandia Music Festival 2015, part two",0.67,1,oauth,
Rise Against | AFI | Anti- Flag,2018-09-26,40,REPAIR,strong title + in-window + dead-gallery marker,67803,Photos:�Rise Against | Mourning in Amerika Tour @ P.N.E. Forum,1.00,0,jig2;fbcdn,
Rodrigo y Gabriela,2015-03-21,11,REPAIR,strong title + in-window + dead-gallery marker,68135,Rodrigo y Gabriela at The Vogue Theatre,1.00,1,oauth,
Rodriguez,2017-08-07,12,REPAIR,strong title + in-window + dead-gallery marker,67732,Photos of Rodriguez in Vancouver,1.00,0,jig2;fbcdn,
Roger Waters / Us + Them Tour 2017,2017-10-30,37,REPAIR,strong title + in-window + dead-gallery marker,67807,Photos: Roger Waters // Us + Them Tour @ Rogers Arena in Vancouver,1.00,0,jig2;fbcdn,
Royal Blood,2017-08-15,67,REPAIR,strong title + in-window + dead-gallery marker,68336,Sold out! Photos of Royal Blood at The Commodore Ballroom in Vancouver,1.00,3,jig2;fbcdn,
Run The Jewels with The Gaslamp Killer and Gangsta Boo,2017-02-10,50,REPAIR,strong title + in-window + dead-gallery marker,67733,"Photos of Run The Jewels, The Gaslight killer and Gangsta Boo at The PNE Forum",0.83,2,oauth,
Ryan Adams,2017-06-29,8,REPAIR,strong title + in-window + dead-gallery marker,67734,Photos of Ryan Adams at The Orpheum Theatre,1.00,5,jig2;fbcdn,
"S. Carey with the Pines at the Biltmore, 6/30/14",2014-07-02,15,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),68159,S. Carey with the Pines at the Biltmore,1.00,5,fbcdn,
Sabrina Carpenter,2017-07-10,45,REPAIR,strong title + in-window + dead-gallery marker,67735,Photos of Sabrina Carpenter at The Vogue Theatre,1.00,3,jig2;fbcdn,
"Sasquatch! Music Festival, May 23-25",2014-05-31,46,REPAIR,strong title + in-window + dead-gallery marker,68172,"Sasquatch! Music Festival, May 23-25",1.00,2,oauth,
Sebastian Bach / June 16 / 2018,2018-06-19,33,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",67813,Photos: Sebastian Bach @ The Commodore Ballroom,0.50,1,jig2;fbcdn,
"Sex with Strangers Album Release at the Fox, 05/29/14",2014-05-30,11,REPAIR,strong title + in-window + dead-gallery marker,68252,Sex with Strangers Album Release at the Fox,1.00,3,oauth,
"Shaggy & Tonye Aganaba at Commodore Ballroom, November 22, 2013.",2013-11-28,11,REPAIR,strong title + in-window + dead-gallery marker,68254,"Shaggy & Tonye Aganaba at Commodore Ballroom, November 22, 2013",1.00,6,oauth,
Shakey Graves at Rogers Arena,2016-06-06,28,REPAIR,strong title + in-window + dead-gallery marker,67736,Photos of Shakey Graves at Rogers Arena,1.00,0,oauth,
"Sharon Jones & the Dap Kings at the Commodore Ballroom, 04/05/14",2014-04-10,15,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),68261,Sharon Jones & the Dap Kings at the Commodore Ballroom,1.00,5,fbcdn,
"SHINEDOWN with guests In This Moment, One Bad Son, and 10 Years",2018-04-08,58,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",67816,Photos: SHINEDOWN with guests @ The Abbotsford Centre,0.12,0,jig2;fbcdn,
Simple Minds @ The Orpheum Theatre | Oct.29 / 2018,2018-11-01,15,REPAIR,strong title + in-window + dead-gallery marker,67819,Photos: Simple Minds @ The Orpheum Theatre,1.00,1,jig2;fbcdn,
Simple Plan / Sept. 5 /2017,2017-09-08,36,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",67820,"Photos: Simple Plan / No Pads, No Helmets�Just Balls 15th Anniversary Tour",0.50,1,jig2;fbcdn,
Single Mothers // Needs @ The Biltmore,2017-10-24,15,REPAIR,strong title + in-window + dead-gallery marker,67822,Photos: Single Mothers with Needs at The Biltmore in Vancouver,1.00,0,jig2;fbcdn,
Skillet with Art Of Dying,2017-09-10,51,REPAIR,strong title + in-window + dead-gallery marker,67737,Photos of Skillet with Art Of Dying in Vancouver,1.00,1,jig2;fbcdn,
Skookum Festival //  Day 2,2018-09-10,51,REPAIR,strong title + in-window + dead-gallery marker,67823,Photos: Skookum Festival // Day 2,1.00,1,jig2;fbcdn,
Skookum Festival // Day 3,2018-09-12,36,REPAIR,strong title + in-window + dead-gallery marker,67824,Photos: Skookum Festival / Day 3,1.00,1,jig2;fbcdn,
Slash featuring Myles Kennedy and the Conspirators,2014-08-16,13,REPAIR,strong title + in-window + dead-gallery marker,68321,Slash featuring Myles Kennedy and the Conspirators,1.00,3,jig2;fbcdn,
Sleeping With Sirens @ The Vogue Theatre,2018-02-08,12,REPAIR,strong title + in-window + dead-gallery marker,67828,Photos: Sleeping With Sirens @ The Vogue Theatre,1.00,1,jig2;fbcdn,
Slow Magic,2017-12-02,15,REPAIR,strong title + in-window + dead-gallery marker,67829,Photos: Slow Magic @ Venue in Vancouver,1.00,0,jig2;fbcdn,
"Snoop Dogg with guests Cypress Hill, Redman and Berner",2017-04-19,155,REPAIR,strong title + in-window + dead-gallery marker,67738,"Photos of Snoop Dogg , Cypress Hill, Redman, and Berner at Rogers Arena",1.00,0,jig2;fbcdn,
Spoon /Sept. 2 / 2017,2017-09-07,13,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",68364,Stanley Park Summer Concerts: Photos of Spoon at Malkin Bowl,0.33,0,jig2;fbcdn,
Steel Panther,2017-01-23,83,REPAIR,strong title + in-window + dead-gallery marker,67739,Photos of Steel Panther at The Commodore Ballroom,1.00,1,oauth,
"Steve Brockley Band at the Biltmore, 7/10/14",2014-07-16,23,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",68383,"STEVE BROCKLEY BAND, THE RECKONERS and REAL PONCHOS",0.43,0,oauth,
Steve Earle & The Dukes,2017-10-02,15,REPAIR,strong title + in-window + dead-gallery marker,67740,Photos of Steve Earle & The Dukes at The Commodore Ballroom in Vancouver,1.00,1,oauth,
Sting - 57th & 9th Tour,2017-02-03,27,REPAIR,"hand-review: false-ADD, headliner-dilution, confirmed broken gallery",67741,Photos of Sting at The Commodore Ballroom,0.33,1,oauth,
Strand of Oaks,2014-08-28,9,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),68389,Strand of Oaks at The Biltmore Cabaret,1.00,3,fbcdn,
"Stu Larsen at the Media Club, 05/24/14",2014-05-27,5,REPAIR,strong title + in-window + dead-gallery marker,68393,Stu Larsen at the Media Club,1.00,0,oauth,
Sturgill Simpson at The Vogue Theatre,2016-08-20,19,REPAIR,strong title + in-window + dead-gallery marker,67742,Photos of Sturgill Simpson at The Vogue Theatre,1.00,1,jig2;fbcdn,
The 1975 at Doug Mitchell Thunderbird Sports Centre,2016-04-29,26,REPAIR,strong title + in-window + dead-gallery marker,67744,Photos of The 1975 at Doug Mitchell Thunderbird Sports Centre,1.00,0,jig2;fbcdn,
The Age Of Electric with Cobra Ramone and The Vidos,2017-03-27,86,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",67746,Photos of The Age Of Electric at The Commodore Ballroom,0.40,0,oauth,
The Arkells,2016-02-03,23,REPAIR,strong title + in-window + dead-gallery marker,67747,Photos of the Arkells at the Commodore Ballroom,1.00,1,jig2;fbcdn,
"The Ballantynes, Little Wild, Sammy Kay",2015-03-19,19,REPAIR,strong title + in-window + dead-gallery marker,68483,"The Ballantynes, Little Wild, Sammy Kay at Hindenburg",1.00,3,oauth,
The Beaches / Late Show Tour w/ Taylor Knox,2018-04-22,50,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",67842,Photos: The Beaches / Late Show Tour @ Venue Nightclub,0.50,0,oauth,
The Cadillac Three,2017-03-10,23,REPAIR,strong title + in-window + dead-gallery marker,67748,Photos of The Cadillac Three at The Commodore Ballroom,1.00,0,jig2;fbcdn,
"The Coathangers at the Rickshaw Theatre, 03/27/14",2014-04-01,14,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),65923,The Coathangers at the Rickshaw Theatre,1.00,5,fbcdn,
